index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Sub-hypothesis,Which species are compared?,Indicator for enemy release,Release of which kind of enemies?,Study date,same as,study,publication
Population regulation by enemies of the grass Brachypodium sylvaticum: demography in native and invaded ranges/Contribution 1,Observational or correlational,"['Europe', 'North-America']",Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Population regulation by enemies of the grass Brachypodium sylvaticum: demography in native and invaded ranges/Contribution 1,Population regulation by enemies of the grass Brachypodium sylvaticum: demography in native and invaded ranges
"Biotic resistance via granivory: establishment by invasive, naturalized, and native asters reflects generalist preference/Contribution 2",Experimental,North-America,Enemy release,Questioned,Enclosure,terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P Ini,Invasive and non-invasive aliens,Performance,Generalists,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Biotic resistance via granivory: establishment by invasive, naturalized, and native asters reflects generalist preference/Contribution 2","Biotic resistance via granivory: establishment by invasive, naturalized, and native asters reflects generalist preference"
"Biotic resistance via granivory: establishment by invasive, naturalized, and native asters reflects generalist preference/Contribution 1",Experimental,North-America,Enemy release,Undecided,Enclosure,terrestrial,Plants,4,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,Generalists,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Biotic resistance via granivory: establishment by invasive, naturalized, and native asters reflects generalist preference/Contribution 1","Biotic resistance via granivory: establishment by invasive, naturalized, and native asters reflects generalist preference"
"Island invasion by a threatened tree species: evidence for natural enemy release of mahogany (Swietenia macrophylla) on Dominica, Lesser Antilles/Contribution 2",Experimental,North-America,Enemy release,Supported,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Island invasion by a threatened tree species: evidence for natural enemy release of mahogany (Swietenia macrophylla) on Dominica, Lesser Antilles/Contribution 2","Island invasion by a threatened tree species: evidence for natural enemy release of mahogany (Swietenia macrophylla) on Dominica, Lesser Antilles"
"Island invasion by a threatened tree species: evidence for natural enemy release of mahogany (Swietenia macrophylla) on Dominica, Lesser Antilles/Contribution 1",Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Island invasion by a threatened tree species: evidence for natural enemy release of mahogany (Swietenia macrophylla) on Dominica, Lesser Antilles/Contribution 1","Island invasion by a threatened tree species: evidence for natural enemy release of mahogany (Swietenia macrophylla) on Dominica, Lesser Antilles"
Spatial distribution and performance of native and invasive Ardisia (Myrsinaceae) species in Puerto Rico: the anatomy of an invasion/Contribution 1,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Spatial distribution and performance of native and invasive Ardisia (Myrsinaceae) species in Puerto Rico: the anatomy of an invasion/Contribution 1,Spatial distribution and performance of native and invasive Ardisia (Myrsinaceae) species in Puerto Rico: the anatomy of an invasion
"Diversity, loss, and gain of malaria parasites in a globally invasive bird/Contribution 1",Observational or correlational,All continents except Antarctica,Enemy release,Supported,Field,Terrestrial,Birds,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2011,,"Diversity, loss, and gain of malaria parasites in a globally invasive bird/Contribution 1","Diversity, loss, and gain of malaria parasites in a globally invasive bird"
Remote analysis of biological invasion and the impact of enemy release/Contribution 1,Experimental,Oceania,Enemy release,Supported,Enclosure,Terrestrial,Plants,20,Testing the enemy release hypothesis in invasion biology,P Ang,Aliens and natives,Performance,Generalists,2011,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Remote analysis of biological invasion and the impact of enemy release/Contribution 1,Remote analysis of biological invasion and the impact of enemy release
Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives/Contribution 3,Observational or correlational,North-America,Enemy release,Undecided,Field,Terrestrial,Plants,14,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives/Contribution 3,Phylogenetic structure predicts capitular damage to Asteraceae better than origin or phylogenetic distance to natives
Influence of insects and fungal pathogens on individual and population parameters of Cirsium arvense in its native and introduced ranges/Contribution 1,Experimental,"['Europe', 'North-America', 'Oceania']",Enemy release,Undecided,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Influence of insects and fungal pathogens on individual and population parameters of Cirsium arvense in its native and introduced ranges/Contribution 1,Influence of insects and fungal pathogens on individual and population parameters of Cirsium arvense in its native and introduced ranges
Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks/Contribution 2,Experimental,"['Europe', 'North-America']",Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P Ini,Invasive and non-invasive aliens,Performance,no differentiation,2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks/Contribution 2,Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks
Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks/Contribution 1,Experimental,"['Europe', 'North-America']",Enemy release,Undecided,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks/Contribution 1,Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks
Species interactions contribute to the success of a global plant invader/Contribution 1,Experimental,"['Europe', 'North-America']",Enemy release,Supported,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Species interactions contribute to the success of a global plant invader/Contribution 1,Species interactions contribute to the success of a global plant invader
Testing hypotheses for exotic plant success: parallel experiments in the native and introduced ranges/Contribution 2,Experimental,"['Europe', 'North-America']",Enemy release,Undecided,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Testing hypotheses for exotic plant success: parallel experiments in the native and introduced ranges/Contribution 2,Testing hypotheses for exotic plant success: parallel experiments in the native and introduced ranges
Testing hypotheses for exotic plant success: parallel experiments in the native and introduced ranges/Contribution 1,Observational or correlational,"['Europe', 'North-America']",Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Testing hypotheses for exotic plant success: parallel experiments in the native and introduced ranges/Contribution 1,Testing hypotheses for exotic plant success: parallel experiments in the native and introduced ranges
Does release from natural belowground enemies help explain the invasiveness of Lygodium microphyllum? A cross-continental comparison/Contribution 1,Experimental,North-America,Enemy release,Undecided,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Does release from natural belowground enemies help explain the invasiveness of Lygodium microphyllum? A cross-continental comparison/Contribution 1,Does release from natural belowground enemies help explain the invasiveness of Lygodium microphyllum? A cross-continental comparison
Associations of leaf miners and leaf gallers with island plants of different residency histories/Contribution 1,Observational or correlational,,Enemy release,Supported,Field,Terrestrial,Plants,49,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2010,,Associations of leaf miners and leaf gallers with island plants of different residency histories/Contribution 1,Associations of leaf miners and leaf gallers with island plants of different residency histories
Reduction in post-invasion genetic diversity in Crangonyx pseudogracilis (Amphipoda: Crustacea): a genetic bottleneck or the work of hitchhiking vertically transmitted microparasites?/Contribution 1,Observational or correlational,"['Europe', 'North-America']",Enemy release,Questioned,Field,Freshwater,Crustaceans,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Reduction in post-invasion genetic diversity in Crangonyx pseudogracilis (Amphipoda: Crustacea): a genetic bottleneck or the work of hitchhiking vertically transmitted microparasites?/Contribution 1,Reduction in post-invasion genetic diversity in Crangonyx pseudogracilis (Amphipoda: Crustacea): a genetic bottleneck or the work of hitchhiking vertically transmitted microparasites?
"Higher parasite richness, abundance and impact in native versus introduced cichlid fishes/Contribution 2",Observational or correlational,North-America,Enemy release,Supported,Field,Freshwater,Fishes,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Higher parasite richness, abundance and impact in native versus introduced cichlid fishes/Contribution 2","Higher parasite richness, abundance and impact in native versus introduced cichlid fishes"
"Higher parasite richness, abundance and impact in native versus introduced cichlid fishes/Contribution 1",Observational or correlational,North-America,Enemy release,Supported,Field,Freshwater,Fishes,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Higher parasite richness, abundance and impact in native versus introduced cichlid fishes/Contribution 1","Higher parasite richness, abundance and impact in native versus introduced cichlid fishes"
Virulence of soil-borne pathogens and invasion by Prunus serotina/Contribution 2,Experimental,"['Europe', 'North-America']",Enemy release,Supported,Lab,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P A,Only aliens,Performance,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Virulence of soil-borne pathogens and invasion by Prunus serotina/Contribution 2,Virulence of soil-borne pathogens and invasion by Prunus serotina
Virulence of soil-borne pathogens and invasion by Prunus serotina/Contribution 1,Observational or correlational,"['Europe', 'North-America']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Virulence of soil-borne pathogens and invasion by Prunus serotina/Contribution 1,Virulence of soil-borne pathogens and invasion by Prunus serotina
"The effects of disturbance and enemy exclusion on performance of an invasive species, common ragweed, in its native range/Contribution 1",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P A,Only aliens,Performance,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","The effects of disturbance and enemy exclusion on performance of an invasive species, common ragweed, in its native range/Contribution 1","The effects of disturbance and enemy exclusion on performance of an invasive species, common ragweed, in its native range"
Low prevalence of haemosporidian parasites in the introduced house sparrow (Passer domesticus) in Brazil/Contribution 1,Observational or correlational,South-America,Enemy release,Supported,Field,Terrestrial,Birds,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2010,,Low prevalence of haemosporidian parasites in the introduced house sparrow (Passer domesticus) in Brazil/Contribution 1,Low prevalence of haemosporidian parasites in the introduced house sparrow (Passer domesticus) in Brazil
Caterpillar assemblages on introduced blue spruce. differences from native Norway spruce /Contribution 1,Observational or correlational,Europe,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Caterpillar assemblages on introduced blue spruce. differences from native Norway spruce /Contribution 1,Caterpillar assemblages on introduced blue spruce. differences from native Norway spruce 
Phylogenetically structured damage to Asteraceae: susceptibility of native and exotic species to foliar herbivores/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,15,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Phylogenetically structured damage to Asteraceae: susceptibility of native and exotic species to foliar herbivores/Contribution 1,Phylogenetically structured damage to Asteraceae: susceptibility of native and exotic species to foliar herbivores
"Origin, local experience, and the impact of biotic interactions on native and introduced Senecio species/Contribution 2",Experimental,Europe,Enemy release,Undecided,Enclosure,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Origin, local experience, and the impact of biotic interactions on native and introduced Senecio species/Contribution 2","Origin, local experience, and the impact of biotic interactions on native and introduced Senecio species"
"Origin, local experience, and the impact of biotic interactions on native and introduced Senecio species/Contribution 1",Experimental,Europe,Enemy release,Supported,Enclosure,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Origin, local experience, and the impact of biotic interactions on native and introduced Senecio species/Contribution 1","Origin, local experience, and the impact of biotic interactions on native and introduced Senecio species"
"Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage/Contribution 3",Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage/Contribution 3","Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage"
"Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage/Contribution 2",Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANDs,Aliens and natives,Damage,Specialists,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage/Contribution 2","Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage"
"Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage/Contribution 1",Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage/Contribution 1","Comparisons of arthropod assemblages on an invasive and native trees: abundance, diversity and damage"
"Effects of large enemies on success of exotic species in marine fouling communities of Washington, USA/Contribution 1",Experimental,North-America,Enemy release,Questioned,Enclosure,Marine,Other invertebrates,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Effects of large enemies on success of exotic species in marine fouling communities of Washington, USA/Contribution 1","Effects of large enemies on success of exotic species in marine fouling communities of Washington, USA"
Enemy release and plant invasion: patterns of defensive traits and leaf damage in Hawaii/Contribution 1,Observational or correlational,North-America,Enemy release,Undecided,Field,Terrestrial,Plants,19,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Enemy release and plant invasion: patterns of defensive traits and leaf damage in Hawaii/Contribution 1,Enemy release and plant invasion: patterns of defensive traits and leaf damage in Hawaii
From seed production to seedling establishment: Important steps in an invasive process/Contribution 1,Observational or correlational,South-America,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2010,,From seed production to seedling establishment: Important steps in an invasive process/Contribution 1,From seed production to seedling establishment: Important steps in an invasive process
Post-dispersal seed mortality of exotic and native species: Effects of fungal pathogens and seed predators/Contribution 1,Experimental,Europe,Enemy release,Questioned,Enclosure,Terrestrial,Plants,6,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Post-dispersal seed mortality of exotic and native species: Effects of fungal pathogens and seed predators/Contribution 1,Post-dispersal seed mortality of exotic and native species: Effects of fungal pathogens and seed predators
Enemy release does not increase performance of Cirsium arvense in New Zealand/Contribution 2,Observational or correlational,"['Europe', 'Oceania']",Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Enemy release does not increase performance of Cirsium arvense in New Zealand/Contribution 2,Enemy release does not increase performance of Cirsium arvense in New Zealand
Enemy release does not increase performance of Cirsium arvense in New Zealand/Contribution 1,Observational or correlational,"['Europe', 'Oceania']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Enemy release does not increase performance of Cirsium arvense in New Zealand/Contribution 1,Enemy release does not increase performance of Cirsium arvense in New Zealand
Entomofauna of the introduced Chinese Tallow Tree/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Entomofauna of the introduced Chinese Tallow Tree/Contribution 1,Entomofauna of the introduced Chinese Tallow Tree
Community structure of insect herbivores on introduced and native Solidago plants in Japan/Contribution 1,Observational or correlational,Asia,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2010,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Community structure of insect herbivores on introduced and native Solidago plants in Japan/Contribution 1,Community structure of insect herbivores on introduced and native Solidago plants in Japan
Host introduction and parasites: a case study on the parasite community of the peacock grouper Cephalopholis argus (Serranidae) in the Hawaiian Islands/Contribution 1,Observational or correlational,"['North-America', 'Oceania']",Enemy release,Supported,Field,Marine,Fishes,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Host introduction and parasites: a case study on the parasite community of the peacock grouper Cephalopholis argus (Serranidae) in the Hawaiian Islands/Contribution 1,Host introduction and parasites: a case study on the parasite community of the peacock grouper Cephalopholis argus (Serranidae) in the Hawaiian Islands
Release from native herbivores facilitates the persistence of invasive marine algae: a biogeographical comparison of the relative contribution of nutrients and herbivory to invasion success/Contribution 1,Experimental,North-America,Enemy release,Supported,Enclosure,Marine,Algae,4,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Release from native herbivores facilitates the persistence of invasive marine algae: a biogeographical comparison of the relative contribution of nutrients and herbivory to invasion success/Contribution 1,Release from native herbivores facilitates the persistence of invasive marine algae: a biogeographical comparison of the relative contribution of nutrients and herbivory to invasion success
Release from foliar and floral fungal pathogen species does not explain the geographic spread of naturalized North American plants in Europe/Contribution 1,Observational or correlational,"['Europe', 'North-America']",Enemy release,Supported,Field,Terrestrial,Plants,140,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2009,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Release from foliar and floral fungal pathogen species does not explain the geographic spread of naturalized North American plants in Europe/Contribution 1,Release from foliar and floral fungal pathogen species does not explain the geographic spread of naturalized North American plants in Europe
Release from soil pathogens plays an important role in the success of invasive Carpobrotus in the Mediterranean/Contribution 1,Experimental,"['Africa', 'Europe']",Enemy release,Supported,Lab,Terrestrial,Plants,2,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2009,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Release from soil pathogens plays an important role in the success of invasive Carpobrotus in the Mediterranean/Contribution 1,Release from soil pathogens plays an important role in the success of invasive Carpobrotus in the Mediterranean
Plant-soil feedback induces shifts in biomass allocation in the invasive plant Chromolaena odorata/Contribution 1,Experimental,"['Africa', 'South-America']",Enemy release,Questioned,Lab,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2009,,Plant-soil feedback induces shifts in biomass allocation in the invasive plant Chromolaena odorata/Contribution 1,Plant-soil feedback induces shifts in biomass allocation in the invasive plant Chromolaena odorata
"Cryptic seedling herbivory by nocturnal introduced generalists impacts survival, performance of native and exotic plants/Contribution 2",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,P Ang,Aliens and natives,Performance,Generalists,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Cryptic seedling herbivory by nocturnal introduced generalists impacts survival, performance of native and exotic plants/Contribution 2","Cryptic seedling herbivory by nocturnal introduced generalists impacts survival, performance of native and exotic plants"
"Cryptic seedling herbivory by nocturnal introduced generalists impacts survival, performance of native and exotic plants/Contribution 1",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,6,Testing the enemy release hypothesis in invasion biology,ANDg,Aliens and natives,Damage,Generalists,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Cryptic seedling herbivory by nocturnal introduced generalists impacts survival, performance of native and exotic plants/Contribution 1","Cryptic seedling herbivory by nocturnal introduced generalists impacts survival, performance of native and exotic plants"
The effect of enemy-release and climate conditions on invasive birds: a regional test using the rose-ringed parakeet (Psittacula krameri) as a case study/Contribution 2,Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Birds,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2009,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",The effect of enemy-release and climate conditions on invasive birds: a regional test using the rose-ringed parakeet (Psittacula krameri) as a case study/Contribution 2,The effect of enemy-release and climate conditions on invasive birds: a regional test using the rose-ringed parakeet (Psittacula krameri) as a case study
The effect of enemy-release and climate conditions on invasive birds: a regional test using the rose-ringed parakeet (Psittacula krameri) as a case study/Contribution 1,Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Birds,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2009,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",The effect of enemy-release and climate conditions on invasive birds: a regional test using the rose-ringed parakeet (Psittacula krameri) as a case study/Contribution 1,The effect of enemy-release and climate conditions on invasive birds: a regional test using the rose-ringed parakeet (Psittacula krameri) as a case study
Herbivory and population dynamics of invasive and native Lespedeza/Contribution 2,Experimental,North-America,Enemy release,Undecided,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Herbivory and population dynamics of invasive and native Lespedeza/Contribution 2,Herbivory and population dynamics of invasive and native Lespedeza
Herbivory and population dynamics of invasive and native Lespedeza/Contribution 1,Experimental,North-America,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Herbivory and population dynamics of invasive and native Lespedeza/Contribution 1,Herbivory and population dynamics of invasive and native Lespedeza
Acceleration of Exotic Plant Invasion in a Forested Ecosystem by a Generalist Herbivore/Contribution 1,Experimental,North-America,Enemy release,Supported,Enclosure,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,P Ag,Only aliens,Performance,Generalists,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Acceleration of Exotic Plant Invasion in a Forested Ecosystem by a Generalist Herbivore/Contribution 1,Acceleration of Exotic Plant Invasion in a Forested Ecosystem by a Generalist Herbivore
Testing the enemy release hypothesis: trematode parasites in the non-indigenous Manila clam Ruditapes philippinarum/Contribution 1,Observational or correlational,Europe,Enemy release,Undecided,Field,Marine,Molluscs,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2009,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Testing the enemy release hypothesis: trematode parasites in the non-indigenous Manila clam Ruditapes philippinarum/Contribution 1,Testing the enemy release hypothesis: trematode parasites in the non-indigenous Manila clam Ruditapes philippinarum
